trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.005, 'e': 0.9975510002532796}",20,0,-129.65519283816198,"{0: 10, 1: 1, 2: 5, 3: 4, 4: 0}",0
15,False,"{'a': 0.005, 'e': 0.9971888181122075}",20,0,-145.98339874682085,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.005, 'e': 0.9968017063026194}",30,0,-89.64684015603501,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9963896745022904}",30,0,-140.33969939680082,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9959527330119943}",20,0,-257.1969071104344,"{0: 6, 1: 3, 2: 5, 3: 2, 4: 4}",0
19,False,"{'a': 0.005, 'e': 0.9954908927552453}",25,0,-194.06030978053192,"{0: 8, 1: 5, 2: 8, 3: 3, 4: 1}",0
20,False,"{'a': 0.005, 'e': 0.9950041652780257}",20,0,-119.08586072537877,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.005, 'e': 0.9944925627484974}",20,0,-46.686553693260905,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.005, 'e': 0.9939560979566968}",30,0,-116.58104960741385,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.005, 'e': 0.9933947843142158}",20,0,-54.05162853070194,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.005, 'e': 0.9928086358538663}",20,0,-173.24932155426933,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
25,False,"{'a': 0.005, 'e': 0.992197667229329}",20,0,-81.26112433791411,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.005, 'e': 0.9915618937147881}",25,0,-95.86634718851978,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
